t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll
123772,-3,1,0,1,1,483,7,8231,-47,-35,-5,-3358,48
123784,2,2,4,4,-1,541,4,8238,-51,-31,-8,-3757,27
123796,1,4,-1,5,2,457,2,8264,-45,-33,-7,-3165,13
123817,1,2,2,7,4,476,11,8161,-50,-33,-7,-3338,77
123829,-3,1,1,4,-1,521,33,8221,-48,-30,-8,-3626,229
123841,0,-5,0,0,2,519,-9,8204,-47,-32,-10,-3619,-62
123862,4,2,3,3,1,507,59,8147,-45,-28,-9,-3560,414
123874,4,2,1,-4,-9,569,-21,8214,-49,-31,-7,-3962,-146
123886,4,-2,-3,3,4,588,43,8157,-45,-33,-8,-4122,302
123907,-1,4,-2,-1,2,476,7,8188,-45,-34,-7,-3327,48
123919,-5,4,2,6,4,521,-4,8214,-46,-31,-7,-3629,-27
123931,2,3,-1,2,-1,509,-55,8171,-47,-33,-4,-3564,-385
123952,-1,-2,0,-1,-1,557,-14,8157,-45,-34,-9,-3906,-98
123964,-1,-1,4,2,-1,495,4,8209,-47,-33,-6,-3450,27
123976,0,-1,6,3,3,517,9,8204,-45,-34,-4,-3605,62
123997,4,4,3,2,-1,529,-4,8200,-48,-31,-7,-3691,-27
124042,1,-5,-5,-4,1,502,-7,8257,-47,-33,-6,-3479,-48
124054,2,1,0,3,-1,512,14,8204,-47,-33,-7,-3571,97
124066,0,0,1,8,1,529,31,8245,-47,-30,-7,-3671,215
124087,0,1,-1,0,-1,454,-7,8157,-45,-32,-9,-3185,-49
124099,2,1,8,-1,-1,490,-47,8274,-49,-32,-9,-3389,-325
124111,-1,1,4,-2,-2,486,-52,8197,-47,-33,-8,-3393,-363
124132,5,0,-1,3,-3,486,-16,8171,-44,-34,-5,-3403,-112
124144,0,0,4,1,-3,447,19,8137,-48,-28,-6,-3144,133
124156,4,3,5,4,1,505,-23,8133,-47,-31,-9,-3553,-162
124177,0,2,4,0,2,490,-4,8123,-44,-35,-8,-3452,-28
124189,-3,0,-2,8,-1,521,74,8248,-42,-34,-7,-3614,514
124222,5,4,4,0,2,442,-50,8262,-45,-32,-8,-3062,-346
124234,-1,3,2,4,4,495,0,8118,-45,-32,-3,-3489,0
124246,-3,0,-3,-2,1,483,26,8149,-46,-30,-8,-3391,182
124267,1,1,1,5,-1,435,-69,8200,-46,-31,-6,-3036,-482
